SL No:,Customer,Month,Amount
1,A1,12-Jan-04,495414.75
2,A1,3-Jan-04,245899.02
3,A1,15-Jan-04,259490.06
4,A1,25-Jan-04,437555.12
5,A1,17-Jan-05,165972.88
6,A1,23-Feb-05,365366.62
7,A1,1-Feb-05,14473.41
8,A8,5-Feb-04,156913.59
9,A9,28-Feb-05,417294.81
10,A10,16-Feb-05,48759.19
11,A11,23-Feb-05,208317.94
12,A12,3-Feb-05,150281.43
13,A13,4-Feb-06,339078.03
14,A14,25-Mar-06,137834.5
15,A15,31-Mar-06,437119.51
16,A16,23-Mar-06,103923.7
17,A17,19-Mar-04,408466.94
18,A18,5-Mar-06,213352.06
19,A19,4-Apr-05,347826.27
20,A20,30-Apr-06,471099.22
21,A21,25-Apr-04,380802.6
22,A22,19-Apr-06,219264.02
23,A23,6-Apr-04,80345.51
24,A24,27-Apr-05,242730.35
25,A25,5-May-04,246473.42
26,A26,6-May-06,470982.16
27,A27,7-May-05,357375.59
28,A28,8-May-06,326050.15
29,A29,9-May-05,215083.37
30,A30,10-May-06,481343.32
31,A31,11-Jul-06,130109.14
32,A32,12-Aug-05,99528.43
33,A33,13-Sep-04,2273.98
34,A34,20-Nov-05,73899.28
35,A35,21-Nov-06,135040.11
36,A36,22-Nov-05,472033.29
37,A37,23-Nov-04,345181.82
38,A38,24-May-05,337727.51
39,A39,25-May-05,27105.36
40,A40,26-May-05,77876.87
41,A41,27-May-05,493499.91
42,A42,28-May-05,307896.6
43,A43,29-May-05,214029.49
44,A44,30-May-05,193865.45
45,A45,31-May-05,412236.42
46,A46,1-Jun-05,58285.12
47,A47,2-Jun-05,165210.56
48,A48,3-Jun-05,67748.66
49,A49,3-Jul-05,172212.79
50,A50,3-Aug-05,314859.52
51,A51,3-Sep-05,205161.39
52,A52,3-Oct-05,458495.13
53,A53,3-Nov-05,384469.34
54,A54,3-Dec-05,215719.14
55,A55,3-Jan-06,465702.01
56,A56,3-Feb-06,244372.73
57,A57,3-Mar-06,167016.85
58,A58,3-Apr-06,338653.47
59,A59,3-May-06,426385.83
60,A60,3-Jun-06,448060.59
61,A61,3-Jul-06,141695.73
62,A60,3-Aug-06,305642.34
63,A61,3-Sep-06,117439.14
64,A62,3-Oct-06,113270
65,A63,3-Nov-06,211117.12
66,A64,3-Dec-06,212614.48
67,A65,12-Jan-04,468922.6
68,A66,3-Jan-04,477039.78
69,A67,15-Jan-04,67845.6
70,A68,25-Jan-04,105098.26
71,A69,17-Jan-05,140533.08
72,A70,23-Feb-05,327639.37
73,A71,1-Feb-05,30997.74
74,A72,5-Feb-04,327006.94
75,A73,28-Feb-05,100712.38
76,A74,16-Feb-05,326559.01
77,A75,23-Feb-05,481338.08
78,A76,3-Feb-05,265619.05
79,A77,4-Feb-06,3159.62
80,A78,25-Mar-06,55344.81
81,A79,31-Mar-06,193230.31
82,A80,23-Mar-06,481205.64
83,A81,24-Mar-06,207780.32
84,A82,25-Mar-06,342200.74
85,A83,26-Mar-06,132844.13
86,A84,27-Mar-06,464121.13
87,A85,28-Mar-06,270527.39
88,A86,29-Mar-06,295851.47
89,A87,30-Mar-06,462283.02
90,A88,31-Mar-06,146821.3
91,A89,1-Apr-06,497237.97
92,A90,2-Apr-06,109931.32
93,A91,3-Apr-06,247781
94,A92,4-Apr-06,459105.69
95,A93,12-Jan-04,342326.14
96,A94,3-Jan-04,153465.89
97,A95,15-Jan-04,369405.96
98,A96,25-Jan-04,310992.3
99,A97,12-Jan-04,121874.9
100,A98,3-Jan-04,337815.57
101,A99,15-Jan-04,25682.73
102,A100,25-Jan-04,69551.19
103,A1,12-Jan-04,350446.82
104,A2,3-Jan-04,185955.07
105,A3,15-Jan-04,84876.34
106,A4,25-Jan-04,299143.09
107,A5,12-Jan-04,185530.18
108,A6,3-Jan-04,478981.53
109,A7,15-Jan-04,192775.99
110,A8,12-Jan-04,350999.98
111,A9,3-Jan-04,40869.43
112,A10,15-Jan-04,397059.17
113,A11,25-Jan-04,458474.93
114,A12,17-Jan-05,13379.96
115,A13,23-Feb-05,462058.63
116,A14,1-Feb-05,262549.83
117,A1,5-Feb-04,117964.43
118,A2,28-Feb-05,412783.34
119,A3,16-Feb-05,435829.71
120,A4,23-Feb-05,167988.37
121,A5,3-Feb-05,165348.26
122,A6,4-Feb-06,387298.06
123,A7,25-Mar-06,94582.65
124,A8,31-Mar-06,155642.95
125,A9,23-Mar-06,102190.34
126,A10,19-Mar-04,11900.61
127,A11,5-Mar-06,149947.54
128,A12,4-Apr-05,171574.18
129,A13,30-Apr-06,160898.98
130,A14,25-Apr-04,453661.84
131,A1,19-Apr-06,79849.19
132,A2,6-Apr-04,148038.67
133,A3,27-Apr-05,336323.41
134,A4,5-May-04,257762.74
135,A5,6-May-06,31781.24
136,A6,7-May-05,218856.15
137,A7,8-May-06,85745.75
138,A8,9-May-05,145457.38
139,A9,10-May-06,170988.06
140,A10,11-Jul-06,358194.65
141,A11,12-Aug-05,332677.61
142,A12,13-Sep-04,289407.01
143,A13,20-Nov-05,137903.91
144,A14,21-Nov-06,22692.95
145,A1,22-Nov-05,402099.78
146,A2,23-Nov-04,179144.68
147,A3,24-May-05,136493.67
148,A4,25-May-05,26925.53
149,A5,5-May-04,8797.07
150,A6,6-May-06,54065.23
151,A7,7-May-05,67065.56
