Sl No:,Customer,Month,Type,Amount
1,A1,12-Jan-04,JEWELLERY,485470.80
2,A1,3-Jan-04,PETRO,410556.13
3,A1,15-Jan-04,CLOTHES,23740.46
4,A1,25-Jan-04,FOOD,484342.47
5,A1,17-Jan-05,CAMERA,369694.07
6,A1,23-Feb-05,SANDALS,168285.60
7,A1,1-Feb-05,CAR,23370.20
8,A8,5-Feb-04,BIKE,155562.58
9,A9,28-Feb-05,AUTO,38269.94
10,A10,16-Feb-05,SHOPPING,194795.88
11,A11,23-Feb-05,AIR TICKET,307622.01
12,A12,3-Feb-05,BUS TICKET,151921.12
13,A13,4-Feb-06,TRAIN TICKET,307940.97
14,A14,25-Mar-06,RENTAL,9509.60
15,A15,31-Mar-06,MOVIE TICKET,399874.98
16,A16,23-Mar-06,JEWELLERY,2845.76
17,A17,19-Mar-04,PETRO,457931.43
18,A18,5-Mar-06,CLOTHES,19272.94
19,A19,4-Apr-05,FOOD,441442.26
20,A20,30-Apr-06,JEWELLERY,356733.48
21,A21,25-Apr-04,PETRO,190011.63
22,A22,19-Apr-06,CLOTHES,423672.50
23,A23,6-Apr-04,FOOD,390850.96
24,A24,27-Apr-05,CAMERA,328845.08
25,A25,5-May-04,SANDALS,446040.47
26,A26,6-May-06,CAR,6588.51
27,A27,7-May-05,BIKE,275144.42
28,A28,8-May-06,AUTO,66432.37
29,A29,9-May-05,SHOPPING,18877.48
30,A30,10-May-06,AIR TICKET,24399.98
31,A31,11-Jul-06,BUS TICKET,272112.42
32,A32,12-Aug-05,TRAIN TICKET,126461.49
33,A33,13-Sep-04,RENTAL,226271.97
34,A34,20-Nov-05,MOVIE TICKET,109129.96
35,A35,21-Nov-06,CAMERA,156630.14
36,A36,22-Nov-05,SANDALS,200228.10
37,A37,23-Nov-04,CAR,139814.59
38,A38,24-May-05,BIKE,376872.51
39,A39,25-May-05,AUTO,117691.42
40,A40,26-May-05,SHOPPING,227791.62
41,A41,27-May-05,AIR TICKET,359764.34
42,A42,28-May-05,BUS TICKET,217211.47
43,A43,29-May-05,TRAIN TICKET,162417.22
44,A44,30-May-05,RENTAL,188171.64
45,A45,31-May-05,MOVIE TICKET,365725.04
46,A46,1-Jun-05,JEWELLERY,319538.35
47,A47,2-Jun-05,PETRO,193736.65
48,A48,3-Jun-05,CLOTHES,433240.56
49,A49,3-Jul-05,FOOD,93689.16
50,A50,3-Aug-05,CAMERA,315690.47
51,A51,3-Sep-05,SANDALS,249496.99
52,A52,3-Oct-05,CAR,50877.10
53,A53,3-Nov-05,BIKE,395078.96
54,A54,3-Dec-05,AUTO,155708.16
55,A55,3-Jan-06,SHOPPING,343548.59
56,A56,3-Feb-06,AIR TICKET,22463.65
57,A57,3-Mar-06,BUS TICKET,324423.00
58,A58,3-Apr-06,TRAIN TICKET,252719.43
59,A59,3-May-06,RENTAL,65444.06
60,A60,3-Jun-06,MOVIE TICKET,285128.75
61,A61,3-Jul-06,JEWELLERY,246888.98
62,A60,3-Aug-06,PETRO,423934.57
63,A61,3-Sep-06,CLOTHES,115354.86
64,A62,3-Oct-06,FOOD,73920.68
65,A63,3-Nov-06,CAMERA,180692.76
66,A64,3-Dec-06,SANDALS,393513.71
67,A65,12-Jan-04,CAR,177417.81
68,A66,3-Jan-04,BIKE,321903.62
69,A67,15-Jan-04,AUTO,199744.78
70,A68,25-Jan-04,SHOPPING,9665.48
71,A69,17-Jan-05,AIR TICKET,113339.36
72,A70,23-Feb-05,AIR TICKET,188959.72
73,A71,1-Feb-05,AIR TICKET,116422.06
74,A72,5-Feb-04,AIR TICKET,360587.42
75,A73,28-Feb-05,AIR TICKET,47380.56
76,A74,16-Feb-05,AIR TICKET,216681.90
77,A75,23-Feb-05,AIR TICKET,217827.88
78,A76,3-Feb-05,AIR TICKET,30066.44
79,A77,4-Feb-06,AIR TICKET,31048.93
80,A78,25-Mar-06,CAMERA,432217.57
81,A79,31-Mar-06,SANDALS,405913.14
82,A80,23-Mar-06,CAR,474797.30
83,A81,24-Mar-06,BIKE,175659.72
84,A82,25-Mar-06,AUTO,379401.53
85,A83,26-Mar-06,SHOPPING,177942.07
86,A84,27-Mar-06,AIR TICKET,124861.57
87,A85,28-Mar-06,BUS TICKET,398873.75
88,A86,29-Mar-06,TRAIN TICKET,166438.62
89,A87,30-Mar-06,RENTAL,483886.62
90,A88,31-Mar-06,MOVIE TICKET,26518.91
91,A89,1-Apr-06,JEWELLERY,24972.02
92,A90,2-Apr-06,PETRO,264882.27
93,A91,3-Apr-06,CLOTHES,89951.84
94,A92,4-Apr-06,FOOD,341858.87
95,A93,12-Jan-04,CAMERA,297505.09
96,A94,3-Jan-04,SANDALS,312714.37
97,A95,15-Jan-04,CAR,240401.50
98,A96,25-Jan-04,BIKE,54729.66
99,A97,12-Jan-04,AUTO,139018.26
100,A98,3-Jan-04,SHOPPING,284521.06
101,A99,15-Jan-04,AIR TICKET,90184.22
102,A100,25-Jan-04,BUS TICKET,224786.88
103,A1,12-Jan-04,TRAIN TICKET,440563.22
104,A2,3-Jan-04,RENTAL,199554.72
105,A3,15-Jan-04,MOVIE TICKET,418202.62
106,A4,25-Jan-04,JEWELLERY,273400.75
107,A5,12-Jan-04,PETRO,272700.86
108,A6,3-Jan-04,CLOTHES,195373.41
109,A7,15-Jan-04,FOOD,210870.21
110,A8,12-Jan-04,CAMERA,470561.03
111,A9,3-Jan-04,CAMERA,143855.64
112,A10,15-Jan-04,CAMERA,240056.14
113,A11,25-Jan-04,CAMERA,139319.83
114,A12,17-Jan-05,CAMERA,133441.76
115,A13,23-Feb-05,SHOPPING,172271.16
116,A14,1-Feb-05,AIR TICKET,394078.34
117,A1,5-Feb-04,BUS TICKET,52208.65
118,A2,28-Feb-05,TRAIN TICKET,376887.49
119,A3,16-Feb-05,TRAIN TICKET,194358.94
120,A4,23-Feb-05,TRAIN TICKET,184352.72
121,A5,3-Feb-05,TRAIN TICKET,125817.82
122,A6,4-Feb-06,TRAIN TICKET,74569.98
123,A7,25-Mar-06,TRAIN TICKET,123765.33
124,A8,31-Mar-06,TRAIN TICKET,113366.26
125,A9,23-Mar-06,CAMERA,206959.61
126,A10,19-Mar-04,SANDALS,47866.78
127,A11,5-Mar-06,CAR,173876.16
128,A12,4-Apr-05,BIKE,126009.02
129,A13,30-Apr-06,AUTO,354503.56
130,A14,25-Apr-04,SHOPPING,461091.85
131,A1,19-Apr-06,AIR TICKET,346925.68
132,A2,6-Apr-04,BUS TICKET,439648.53
133,A3,27-Apr-05,TRAIN TICKET,94389.66
134,A4,5-May-04,RENTAL,104771.98
135,A5,6-May-06,MOVIE TICKET,413858.41
136,A6,7-May-05,JEWELLERY,130023.62
137,A7,8-May-06,PETRO,238772.07
138,A8,9-May-05,PETRO,371894.08
139,A9,10-May-06,PETRO,108752.51
140,A10,11-Jul-06,PETRO,239798.03
141,A11,12-Aug-05,PETRO,404113.85
142,A12,13-Sep-04,PETRO,479627.87
143,A13,20-Nov-05,PETRO,456431.18
144,A14,21-Nov-06,PETRO,9819.62
145,A1,22-Nov-05,PETRO,183839.61
146,A2,23-Nov-04,PETRO,384078.73
147,A3,24-May-05,PETRO,183707.24
148,A4,25-May-05,PETRO,31107.95
149,A5,26-May-05,PETRO,384309.63
150,A6,27-May-05,MOVIE TICKET,89467.92
151,A7,28-May-05,CAMERA,22964.17
152,A8,29-May-05,CAMERA,335298.81
153,A9,30-May-05,CAMERA,306526.12
154,A10,31-May-05,SHOPPING,118875.68
155,A11,1-Jun-05,AIR TICKET,272982.02
156,A12,2-Jun-05,BUS TICKET,189763.11
157,A13,3-Jun-05,TRAIN TICKET,240226.29
158,A14,3-Jul-05,RENTAL,294099.59
159,A1,3-Aug-05,MOVIE TICKET,344372.10
160,A2,3-Sep-05,JEWELLERY,117089.16
161,A3,3-Oct-05,PETRO,445534.57
162,A4,3-Nov-05,CLOTHES,23040.07
163,A5,3-Dec-05,FOOD,230668.23
164,A6,3-Jan-06,CAMERA,235787.09
165,A7,3-Feb-06,SANDALS,202045.12
166,A8,3-Mar-06,CAR,248077.43
167,A9,3-Apr-06,BIKE,150348.46
168,A10,3-May-06,AUTO,10615.48
169,A11,3-Jun-06,SHOPPING,294577.34
170,A12,3-Jul-06,AIR TICKET,77725.32
171,A13,3-Aug-06,BUS TICKET,25860.69
172,A14,3-Sep-06,TRAIN TICKET,108506.20
173,A1,3-Oct-06,RENTAL,244534.68
174,A2,3-Nov-06,MOVIE TICKET,75728.35
175,A3,3-Dec-06,JEWELLERY,491710.50
176,A4,12-Jan-04,PETRO,35293.85
177,A5,3-Jan-04,CLOTHES,143057.63
178,A6,15-Jan-04,FOOD,102914.50
179,A7,25-Jan-04,FOOD,131957.64
180,A8,17-Jan-05,FOOD,27596.71
181,A9,23-Feb-05,FOOD,15000.55
182,A10,1-Feb-05,FOOD,36477.84
183,A11,5-Feb-04,FOOD,66306.06
184,A12,28-Feb-05,FOOD,24218.26
185,A13,16-Feb-05,FOOD,293846.44
186,A14,23-Feb-05,FOOD,111896.48
187,A1,3-Feb-05,FOOD,155611.91
188,A2,4-Feb-06,FOOD,175345.84
189,A3,25-Mar-06,FOOD,418516.31
190,A4,31-Mar-06,FOOD,466690.74
191,A5,23-Mar-06,FOOD,244557.11
192,A6,24-Mar-06,FOOD,149094.95
193,A7,25-Mar-06,FOOD,30727.68
194,A8,26-Mar-06,FOOD,270994.47
195,A9,27-Mar-06,FOOD,261113.44
196,A10,28-Mar-06,FOOD,74554.87
197,A11,29-Mar-06,FOOD,45366.66
198,A12,30-Mar-06,SHOPPING,350004.39
199,A13,31-Mar-06,AIR TICKET,460656.56
200,A14,1-Apr-06,BUS TICKET,341157.43
201,A1,2-Apr-06,TRAIN TICKET,176372.82
202,A2,3-Apr-06,RENTAL,367364.53
203,A3,4-Apr-06,MOVIE TICKET,16375.23
204,A4,12-Jan-04,JEWELLERY,130804.05
205,A5,3-Jan-04,PETRO,399316.12
206,A6,15-Jan-04,CLOTHES,488508.91
207,A7,25-Jan-04,FOOD,365615.44
208,A8,12-Jan-04,CAMERA,219438.79
209,A9,3-Jan-04,CAMERA,77322.70
