"claim_id","customer_id","incident_cause","claim_date","claim_area","police_report","claim_type","claim_amount","total_policy_claims","fraudulent"
54004764,21868593,"Driver error","11/27/2017","Auto","No","Material only","$2980",1,"No"
33985796,75740424,"Crime","10/03/2018","Home","Unknown","Material only","$2980",3,"No"
53522022,30308357,"Other driver error","02/02/2018","Auto","No","Material only","$3369.5",1,"Yes"
13015401,47830476,"Natural causes","06/17/2018","Auto","No","Material only","$1680",1,"No"
22890252,19269962,"Crime","01/13/2018","Auto","No","Material only","$2680",1,"No"
24050443,21831191,"Other driver error","10/04/2017","Auto","No","Injury only","$38306.5",3,"Yes"
12878692,18401412,"Driver error","01/13/2018","Auto","No","Material only","$1730",4,"No"
27026412,73486606,"Natural causes","04/10/2018","Auto","No","Material only","$1160",3,"No"
43908336,32813689,"Crime","02/15/2018","Auto","Unknown","Material only","$2620",1,"No"
63246959,33507197,"Crime","07/22/2017","Auto","No","Material only","$2748.5",2,"Yes"
74165873,99103685,"Other driver error","01/13/2018","Home","No","Material only","$1495",1,"Yes"
28564401,51583214,"Other driver error","12/10/2017","Auto","Unknown","Material and injury","$16690",1,"No"
72738047,35875366,"Other driver error","04/24/2018","Auto","Unknown","Material only","$1870",1,"No"
53780662,21240703,"Other driver error","09/19/2018","Auto","Unknown","Material only","$1050",1,"No"
67257404,18288638,"Other driver error","04/24/2018","Auto","Yes","Injury only","$32560",1,"No"
35489765,63240241,"Natural causes","10/03/2018","Auto","No","Material only","$2870",1,"No"
12548447,1407979,"Driver error","06/03/2018","Auto","Unknown","Material only","$3208.5",1,"Yes"
7809917,63916778,"Other causes","07/22/2017","Auto","No","Injury only","$17800",1,"No"
29205389,17004138,"Natural causes","06/25/2017","Auto","No","Injury only","$31380",1,"No"
19051665,9667764,"Other causes","12/17/2017","Auto","Yes","Injury only","$36190",1,"No"
32630720,75584003,"Crime","02/03/2017","Auto","No","Material only",NA,1,"No"
17910612,90012444,"Other driver error","08/24/2017","Auto","No","Material only","$1010",1,"No"
46956597,10665308,"Natural causes","07/20/2018","Auto","No","Material only",NA,1,"No"
68848682,35597589,"Other driver error","05/29/2017","Auto","Yes","Injury only","$16830",1,"No"
8782253,1924109,"Driver error","09/14/2017","Auto","No","Material only","$1690",1,"No"
41262918,12871942,"Natural causes","04/25/2017","Auto","No","Material only","$2830",1,"No"
71088680,32155446,"Driver error","12/24/2017","Auto","No","Material and injury","$32640",4,"No"
54764639,35876516,"Driver error","08/10/2018","Auto","No","Material only","$2870",1,"No"
52278305,13265356,"Driver error","10/17/2017","Home","No","Material only","$1210",1,"No"
18210740,80379865,"Natural causes","02/09/2018","Auto","No","Injury only","$18580",NA,"No"
22215431,64899302,"Other driver error","06/23/2018","Auto","No","Material only","$2630",1,"No"
10738822,11278282,"Natural causes","08/10/2018","Auto","No","Material only","$2540",1,"No"
7800059,90425966,"Driver error","03/01/2018","Auto","No","Material only","$2320",1,"No"
16773361,70459181,"Other driver error","10/10/2017","Auto","No","Material only","$2725.5",1,"Yes"
99427250,91546921,"Crime","05/21/2018","Home","No","Material only","$2070",1,"No"
70399158,26489135,"Driver error","07/01/2017","Auto","No","Material only","$1110",1,"No"
5481268,76422302,"Crime","10/31/2017","Home","No","Material only","$1030",1,"No"
13167216,27205554,"Driver error","05/14/2018","Auto","No","Injury only","$16910",1,"No"
30942972,60225946,"Other causes","02/17/2017","Auto","No","Material only","$1890",1,"No"
13578273,34790013,"Other driver error","12/24/2017","Auto","Yes","Material and injury","$33040",5,"No"
22639991,53333796,"Other causes","10/09/2018","Auto","Yes","Material and injury","$25320",1,"No"
73894966,28307541,"Driver error","11/27/2017","Auto","No","Material only","$2340",1,"No"
