AccountId,AccountName,Region,Division,City,State,Tier,Month,Sales2015,Sales2016,Units2015,Units2016,TargetAchevied2015,TargetAchevied2016
1116,Account1,West,DIAMONDBACK,PHOENIX W,AZ,Low,Aug,0,13208.52,0,4,0.7,1.53
1116,Account1,West,DIAMONDBACK,PHOENIX W,AZ,Low,Oct,10500.78,23114.91,3,7,0.84,1.31
2391,Account2,East,MINUTEMEN,HARTFORD,CT,Med,Jun,0,6627,0,3,1.15,1.29
2391,Account2,East,MINUTEMEN,HARTFORD,CT,Med,Mar,19881,13254,9,6,1.33,1.17
2397,Account3,East,MINUTEMEN,WORCESTER,MA,Med,Sep,3684.48,0,1,0,1.02,1.53
2400,Account4,East,MINUTEMEN,PORTLAND,ME,High,Jul,0,10525.24,0,4,1.03,1.45
2400,Account4,East,MINUTEMEN,PORTLAND,ME,High,Feb,2631.31,42812.62,1,17,1.08,0.99
2404,Account5,East,EMPIRE,BRIDGEPORT,CT,Low,Mar,4153.89,3918.77,1,1,0.79,1.46
2406,Account6,East,BIG APPLE,JERSEY CITY,NJ,Med,Mar,0,6951.86,0,2,1.12,1.02
2408,Account7,East,BIG APPLE,JERSEY CITY,NJ,High,Aug,0,10994.54,0,4,1.11,1.54
2408,Account7,East,BIG APPLE,JERSEY CITY,NJ,High,Feb,9640.17,27316.66,3,10,1.06,1.08
2409,Account8,East,BIG APPLE,JERSEY CITY,NJ,Low,Mar,2209,4418,1,2,0.98,1.38
2415,Account10,East,BIG APPLE,JERSEY CITY,NJ,Low,Jul,0,2209,0,1,0.71,0.92
2415,Account10,East,BIG APPLE,JERSEY CITY,NJ,Low,Mar,2209,0,1,0,1.4,0.97
2418,Account11,East,BIG APPLE,JERSEY CITY,NJ,Med,Aug,0,6256.68,0,2,1.23,1.35
2418,Account11,East,BIG APPLE,JERSEY CITY,NJ,Med,Oct,0,24570.26,0,8,1.15,1.54
2422,Account12,East,BIG APPLE,JERSEY CITY,NJ,Low,Jun,11522.85,3475.93,3,1,1.37,1.14
2426,Account13,East,BIG APPLE,PATERSON,NJ,High,Oct,0,3128.34,0,1,1.42,1.23
2426,Account13,East,BIG APPLE,PATERSON,NJ,High,Apr,33160.3,25026.72,10,8,1.4,1.56
2428,Account14,East,BIG APPLE,PATERSON,NJ,High,Jun,3222.91,5717.42,1,2,0.81,1.49
2428,Account14,East,BIG APPLE,PATERSON,NJ,High,Nov,17152.26,20375.17,6,7,1.04,1.09
2431,Account15,East,BIG APPLE,PATERSON,NJ,Low,Jun,0,9258.3,0,3,1.17,1.06
2431,Account15,East,BIG APPLE,PATERSON,NJ,Low,May,16232.6,12344.4,5,4,1.36,1.48
2434,Account16,East,BIG APPLE,PATERSON,NJ,Low,Jun,2209,13535.43,1,6,0.81,1.39
2435,Account17,East,BIG APPLE,PATERSON,NJ,High,Nov,6256.68,0,2,0,0.97,1.18
2435,Account17,East,BIG APPLE,PATERSON,NJ,High,Dec,3128.34,24113.8,1,8,0.87,1.32
2436,Account18,East,BIG APPLE,PATERSON,NJ,High,Mar,0,5327.58,0,2,1.03,1.1
2436,Account18,East,BIG APPLE,PATERSON,NJ,High,May,2398.76,12930.28,1,5,0.83,0.95
2438,Account19,East,REVOLUTION,BRUNSWICK,NJ,High,Sep,15261.32,20838.96,6,8,1.3,1.4
2440,Account20,East,REVOLUTION,BRUNSWICK,NJ,Med,Mar,2209,0,1,0,0.89,1.13
2440,Account20,East,REVOLUTION,BRUNSWICK,NJ,Med,Mar,0,2209,0,1,1.28,1.35
2440,Account20,East,REVOLUTION,BRUNSWICK,NJ,Med,Jan,14379.72,16588.72,6,7,1.09,1
