"id","insert","dollars"
148,"Standard",2232.77197860002
572,"New Promotion",1403.80754185529
973,"Standard",2327.09218070348
1096,"Standard",1280.03054112556
1541,"New Promotion",1513.5631995329
1947,"New Promotion",1729.62799645327
2001,"New Promotion",1609.70591757143
2130,"Standard",1476.62488401675
2616,"Standard",1460.76975342617
2886,"New Promotion",1854.48902754498
3340,"Standard",1495.28718544893
3400,"New Promotion",1107.21466464066
3539,"Standard",1949.59379905632
3730,"New Promotion",2144.6482329601
3906,"New Promotion",784.079268303671
3924,"New Promotion",1409.65967226125
3962,"Standard",1856.95263729823
4465,"New Promotion",2226.11627474191
4900,"Standard",1470.67652029416
5126,"Standard",1567.24196640732
5731,"Standard",1627.40250154846
5945,"New Promotion",1869.39429903673
6362,"New Promotion",1629.10009331639
6486,"New Promotion",2006.78482208734
6501,"New Promotion",2096.78449737264
6651,"New Promotion",1445.52511412548
6802,"New Promotion",1887.13904443062
7294,"Standard",1903.64449635396
7355,"Standard",1696.94425450918
7659,"New Promotion",1644.56777689611
7820,"Standard",1334.26374293852
8113,"New Promotion",1668.48834071875
8213,"New Promotion",1154.14249446305
9586,"New Promotion",1856.24906684422
9864,"New Promotion",1612.23132191255
9917,"New Promotion",1655.09778331142
11365,"Standard",2032.93940127788
11702,"New Promotion",1555.93695561015
11759,"New Promotion",1761.03135244142
12207,"Standard",1766.62806196176
12363,"New Promotion",1835.16851614104
12494,"Standard",1987.12560937241
13387,"New Promotion",1251.4761560097
13960,"Standard",1876.31839677691
14351,"New Promotion",1647.96829806225
14635,"Standard",1364.7400691242
15336,"New Promotion",1988.14205813779
15520,"New Promotion",1969.48304269932
15694,"New Promotion",2334.90004221711
15768,"New Promotion",1093.10683803924
15841,"Standard",1479.34889228057
16334,"New Promotion",1503.77311186077
16568,"Standard",1775.4355856342
16796,"Standard",1107.78860229901
16970,"Standard",2149.39053867798
17036,"New Promotion",1248.60587741388
17086,"New Promotion",788.059177486245
17205,"Standard",1334.18483799916
17545,"New Promotion",1932.52870121447
17550,"Standard",1084.51153713159
17686,"New Promotion",1531.88234032497
17867,"New Promotion",1425.07183986008
17884,"New Promotion",1872.11956713804
18382,"Standard",2149.70731821437
18610,"Standard",806.038108067465
19586,"New Promotion",1283.3189581176
20766,"Standard",1564.82734768315
21069,"Standard",1615.41412626179
21162,"New Promotion",1668.65864453102
21316,"New Promotion",1493.31719086781
21411,"Standard",844.365391238878
21802,"Standard",1563.50064807598
21847,"Standard",1442.45916447045
21999,"New Promotion",961.965356540378
22183,"Standard",1147.4779024883
22318,"New Promotion",1724.95747216788
22454,"Standard",1521.43585387408
22681,"New Promotion",1742.34031031028
22702,"New Promotion",1317.36387134248
22797,"Standard",1526.61869918903
22825,"Standard",1369.44403760743
23058,"New Promotion",926.661270368845
23187,"Standard",1058.08089869891
23226,"Standard",1272.34083601418
23529,"New Promotion",1657.76054323918
23583,"New Promotion",1702.6839190634
24926,"New Promotion",1857.50205943238
25202,"New Promotion",1197.3210740818
25427,"Standard",1326.16126459063
26275,"Standard",1794.49985176508
26527,"New Promotion",1186.30851538931
26745,"Standard",1245.84526099035
27401,"New Promotion",1301.35260467567
27849,"New Promotion",2180.44924139365
27902,"Standard",1539.82619832745
28646,"New Promotion",2152.12096143901
29450,"New Promotion",1558.75047867846
29861,"New Promotion",1024.05904607042
29976,"New Promotion",1818.90115248792
29995,"Standard",1809.45297526516
30254,"Standard",2112.63999627193
30370,"New Promotion",1949.54014284824
30676,"New Promotion",1921.22961759001
30728,"New Promotion",1293.01521501263
30744,"Standard",2111.48802531148
31512,"Standard",1537.35755263315
31581,"New Promotion",1496.16912313539
32240,"Standard",1114.4258419896
32311,"New Promotion",1020.85419507591
32433,"New Promotion",1335.41761552003
32841,"Standard",1512.01763274481
32920,"Standard",1718.49467929592
32961,"Standard",1415.53481948525
33069,"New Promotion",1705.87711134618
33323,"Standard",1431.90767224243
33386,"Standard",1596.85753542978
33433,"Standard",1161.08450860382
33523,"New Promotion",1993.30806347715
33925,"New Promotion",1331.24376542366
33958,"New Promotion",1801.59893406312
34221,"New Promotion",1920.18043021194
34458,"Standard",1878.37304046093
34556,"New Promotion",2154.47326265273
34606,"Standard",1521.88395249007
34659,"New Promotion",2182.22837369631
34739,"Standard",1405.70072942054
35113,"New Promotion",1293.08959378309
35295,"Standard",1813.77512230184
35735,"New Promotion",2021.10536535912
36018,"Standard",1892.45333106701
36083,"New Promotion",1722.56675925215
36476,"New Promotion",1709.16270627034
37369,"Standard",1948.87642159625
37732,"Standard",1417.58617139766
37767,"Standard",2174.23524583372
38195,"New Promotion",1229.06081328881
38359,"New Promotion",1257.92173339777
38535,"Standard",1670.26125126313
38746,"Standard",1676.36495446853
39105,"Standard",1489.34159251467
39155,"New Promotion",1751.56765310028
39171,"Standard",1501.16543064723
39501,"Standard",1505.66816825382
39744,"New Promotion",1635.81785161037
39838,"Standard",1375.44111347946
39856,"Standard",1360.22624112828
40132,"New Promotion",1500.68636158341
40233,"New Promotion",1294.39070083218
40501,"Standard",2251.41348181018
40857,"Standard",1427.76377166804
41045,"Standard",911.472841949327
41095,"New Promotion",1297.83047955463
41140,"New Promotion",2054.83561031967
41370,"New Promotion",1337.27236190974
41489,"Standard",1416.49512701641
41955,"New Promotion",1470.23162678037
41974,"New Promotion",1664.39576540356
42254,"Standard",1549.88446760734
42459,"Standard",1707.58701484694
42507,"Standard",1662.75014212595
42620,"New Promotion",1733.24631948031
42782,"New Promotion",2236.35318517458
42978,"Standard",1211.93060144369
43681,"Standard",1268.61253704627
43788,"Standard",1881.39080729491
44295,"New Promotion",1543.23697516545
44621,"Standard",1468.52455911434
44649,"New Promotion",1430.5744715073
44662,"Standard",1962.03048841721
45790,"Standard",1304.10625384015
45853,"Standard",1587.82590199198
45888,"New Promotion",2181.43976443546
46212,"New Promotion",1481.03341481951
46281,"New Promotion",1703.43179853332
46402,"New Promotion",1770.77819815243
46465,"New Promotion",1738.03749766381
46886,"New Promotion",2250.77041131119
47037,"Standard",1228.79892946296
47093,"New Promotion",1773.02889387261
47183,"Standard",1468.80978959523
47321,"Standard",1777.89598724621
47874,"New Promotion",1447.59206248373
47875,"Standard",1938.56592322199
48051,"Standard",1815.76303278821
48311,"Standard",1339.15244772223
48693,"New Promotion",1920.89890495815
48717,"New Promotion",1142.48419765785
48799,"Standard",1422.44286965056
49290,"Standard",1278.97337050031
49678,"Standard",1212.79779315199
49698,"New Promotion",1629.81291359309
50933,"Standard",728.513228011761
51000,"New Promotion",1320.95542649163
51022,"Standard",1932.98821452565
51565,"Standard",1828.79834842521
52235,"Standard",1332.02808067356
52309,"New Promotion",1875.81724991287
52670,"Standard",1501.1755644846
52791,"Standard",1214.45446260995
53180,"Standard",1220.738383666
53302,"Standard",1699.00536886458
53357,"New Promotion",1980.03078768281
53421,"Standard",1490.74524602656
53502,"New Promotion",1566.05671101605
54285,"Standard",1649.00322667319
54451,"Standard",1971.74924775659
54867,"New Promotion",2191.42241105488
54896,"Standard",1427.82425682584
55106,"Standard",848.282850403224
55360,"New Promotion",1784.32428013922
55518,"Standard",1279.06394203368
55607,"New Promotion",2160.95126476418
55974,"New Promotion",1590.89820906203
56231,"New Promotion",1417.74189569571
56240,"New Promotion",2030.0318814779
56390,"New Promotion",1675.37683568796
56487,"Standard",2713.02759365744
56662,"New Promotion",1323.77462385811
56721,"Standard",961.418001233872
56830,"New Promotion",1878.09700922961
57507,"New Promotion",1540.17149896123
58412,"Standard",1993.073492057
58440,"Standard",1398.32345772085
58563,"New Promotion",1837.05843584076
58636,"Standard",1606.40566204713
58768,"Standard",1585.94052411158
58900,"New Promotion",2000.09419879137
58967,"New Promotion",1234.66863494346
58968,"Standard",1364.47438830296
59298,"New Promotion",1254.65001346928
59605,"New Promotion",1450.43513290565
59886,"Standard",1576.18633047149
60038,"Standard",1629.78159237628
60156,"New Promotion",1424.08976191846
60236,"Standard",1633.90455002212
60561,"Standard",1645.32819410021
60672,"New Promotion",1761.52056880604
60812,"Standard",1286.85437819245
60850,"New Promotion",1111.59858463649
60865,"Standard",1979.73344410841
60926,"Standard",1260.4068606131
60999,"New Promotion",1006.98234798043
61050,"New Promotion",1158.30333022188
61393,"Standard",1514.50263036226
61463,"Standard",894.491002957664
62278,"New Promotion",993.069759928317
62296,"New Promotion",1694.10703367569
62406,"New Promotion",1861.46126671502
62504,"New Promotion",1469.61924248379
62902,"Standard",1859.84534863633
63353,"New Promotion",1897.25708948617
63383,"New Promotion",1414.65493908902
63540,"Standard",1058.08320281657
63583,"New Promotion",1329.24830225408
63762,"New Promotion",1602.95494687205
64012,"Standard",1569.37057143248
64737,"New Promotion",1524.03138879144
65796,"Standard",1484.27768989634
66477,"New Promotion",1331.73436589184
66949,"Standard",1896.83665867276
67033,"New Promotion",1817.06751454406
67037,"New Promotion",1805.12745180746
67532,"Standard",1495.24750795835
68290,"Standard",1613.21857358043
68633,"Standard",1488.58748446451
68675,"New Promotion",1574.01617775039
68778,"New Promotion",1669.03984305998
69155,"New Promotion",1971.8999901494
69207,"Standard",1253.23233562999
69223,"New Promotion",1389.08345008896
69283,"New Promotion",2002.43708621714
69393,"Standard",1167.3649932074
69809,"Standard",1530.04597877579
70293,"New Promotion",1674.46792726427
70377,"New Promotion",1648.66829500527
70777,"Standard",1931.85605896875
70852,"Standard",1902.02557610023
71148,"New Promotion",1667.41982966172
71331,"New Promotion",1518.70497586238
71384,"Standard",544.59700298133
72011,"New Promotion",1510.8890872225
72101,"New Promotion",1418.01583914236
72818,"Standard",1681.53538629525
73729,"Standard",2273.87687540426
73749,"Standard",2001.29546247594
74743,"New Promotion",1304.87489846916
74807,"New Promotion",1138.33442402711
75112,"Standard",1877.68846644102
75479,"Standard",1603.33675459327
75496,"Standard",2210.42666728328
