"agegroup","dvdscore"
"65 and over",38.4548029215072
"55-64",17.6696773605473
"65 and over",31.7043070396495
"65 and over",25.924459918855
"Under 25",30.4500068755529
"Under 25",35.6099093135192
"65 and over",29.6776954865312
"25-34",38.1673693169229
"65 and over",23.5096998202571
"45-54",26.0510293388593
"25-34",26.6302054965562
"25-34",30.670047359158
"Under 25",40.4694878999356
"65 and over",27.5633247028888
"55-64",32.6082144753537
"35-44",21.8234881872979
"25-34",27.9728101679691
"45-54",33.4276055214419
"65 and over",26.728349213212
"Under 25",30.7918243649267
"35-44",34.9035529714881
"35-44",41.0633464592089
"35-44",45.9531908196523
"25-34",36.8973504635753
"35-44",28.3827267719431
"65 and over",25.1754818515954
"Under 25",27.4150385164467
"65 and over",27.8374979829709
"Under 25",27.250371767388
"45-54",47.5014698375877
"35-44",26.2315981263882
"45-54",40.831792002933
"Under 25",21.6427423600065
"25-34",25.5850066894461
"Under 25",30.6827702535426
"35-44",44.4761666137467
"55-64",29.2940967509462
"55-64",31.1439392572982
"45-54",42.4999058340484
"65 and over",24.910108008587
"25-34",38.6826372268381
"45-54",40.9736437475726
"45-54",34.9206753904575
"55-64",29.1451630105445
"65 and over",15.7344734131234
"Under 25",25.2218030610918
"35-44",40.2867939562257
"35-44",33.3459914567995
"Under 25",22.4483634719021
"65 and over",31.769031704922
"Under 25",26.4454461831301
"25-34",32.1412485609676
"25-34",37.2689176307806
"65 and over",24.4843158497163
"35-44",41.3370149091272
"35-44",44.6391857448611
"35-44",41.7736427195346
"25-34",22.7645065106348
"65 and over",30.3609002789781
"Under 25",30.317786653679
"55-64",30.8229232978308
"45-54",41.2080547572507
"65 and over",34.6750108567031
"45-54",46.5676818256155
"65 and over",23.9994911263387
"Under 25",24.9944188114819
"65 and over",33.5385020180896
"45-54",37.2018290627964
