Group,Fruit_Wt,Seed_Yield_Plant,Seedling_length
Natural,1.85,147.7,16.86
Natural,1.86,136.86,16.77
Natural,1.83,149.97,16.35
Natural,1.89,172.33,18.26
Natural,1.8,144.46,17.9
Natural,1.88,138.3,16.95
Natural,1.89,150.58,18.15
Natural,1.79,140.99,18.86
Natural,1.85,140.57,18.39
Natural,1.84,138.33,18.58
Hand,2.58,224.26,18.18
Hand,2.74,197.5,18.07
Hand,2.58,230.34,19.07
Hand,2.62,217.05,19
Hand,2.68,233.84,18
Hand,2.56,216.52,18.49
Hand,2.34,211.93,17.45
Hand,2.67,210.37,18.97
Hand,2.45,199.87,19.31
Hand,2.44,214.3,19.36
