"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
1,"Working full time","Divorced",2,60,12,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy",NA,"No",NA,2,"Weekly wage","Scotland",NA,"American Indian","Germany","Only some","Only some","Only some","Hardly any","Only some","Only some","55 to 64","1-2","No","No","No","No","No","American","Japanese","Japanese"
2,"Working part-time","Never married",0,27,17,20,NA,NA,"Junior college","Female","White","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Liberal","Oppose",NA,"Pretty happy",NA,NA,"Less than once a week",6,"Hourly wage",NA,"Norway","Denmark","Scotland","Hardly any","Only some","Only some","Only some","A great deal","A great deal","25 to 34","None","No","No","Yes","No","No","American","German","Japanese"
3,"Working full time","Married",2,36,12,12,12,16,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative",NA,"Yes","Very happy","Very happy",NA,"Less than once a week",1,NA,"England and Wales","England and Wales",NA,NA,"A great deal","Only some","Hardly any","Hardly any","A great deal","Hardly any","35 to 44","1-2","No","No","No","Yes","Yes","American","American",NA
4,"Working full time","Never married",0,21,13,NA,12,NA,"High school","Male","White","Yes","Both in U.S.",1,"$15000 - 19999","$15000 - 19999","Liberal","Oppose","Yes","Very happy",NA,"No","Less than once a week",2,NA,"French Canada","French Canada",NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","No","No","No","Yes","Yes","American","Other",NA
5,"Working full time","Never married",0,35,16,NA,12,NA,"Bachelor","Female","White","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Annual salary","French Canada","French Canada","Ireland",NA,"Only some","Only some","Only some","Only some","Only some","Only some","35 to 44","None","No","No","No","No","No","American","American","Korean"
6,"Working full time","Divorced",1,33,16,9,6,NA,"Bachelor","Male","White","Yes","Father only",3,"$20000 - 24999",NA,"Moderate","Favor","Yes","Pretty happy",NA,"Yes","Once a week",1,"Monthly salary",NA,"Lithuania","Sweden","Norway",NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","No","Yes","Yes","American","Korean","Japanese"
7,"Working full time","Separated",0,43,12,14,12,NA,"High school","Male","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Moderate","Favor","No","Very happy",NA,NA,"Less than once a week",1,"Monthly salary",NA,"Germany","England and Wales","Ireland","Only some","Only some","Hardly any","Hardly any","Only some","Hardly any","35 to 44","None","No","No","No","Yes","Yes","Korean","American","American"
8,"Working full time","Never married",0,29,13,16,12,NA,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Moderate","Favor","No","Pretty happy",NA,NA,"Less than once a week",2,"Monthly salary","Ireland","Ireland","Germany","Scotland","Only some","Only some","Only some","Only some","Only some","Only some","25 to 34","None","No","No","No","Yes","Yes","Other","Japanese",NA
9,"Working part-time","Married",2,39,18,16,12,13,"Bachelor","Female","White","Yes","Both in U.S.",1,NA,NA,"Slightly conservative","Favor","Yes","Very happy","Very happy","Yes","Every day",3,NA,"Germany","Germany","England and Wales","American Indian",NA,NA,NA,NA,NA,NA,"35 to 44","1-2","Yes","No","Yes","No","No","American","Korean",NA
10,"Working full time","Divorced",0,45,15,16,12,NA,"Junior college","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Pretty happy",NA,"Yes","Once a week",2,"Hourly wage","Germany","France","Germany","Ireland",NA,NA,NA,NA,NA,NA,"45 to 54","None","No","Yes","No","Yes","Yes","Korean","Japanese","Korean"
11,"Unemployed, laid off","Never married",0,29,12,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor","No","Pretty happy",NA,NA,"Once a week",3,NA,"France","France",NA,NA,"A great deal","Only some","Only some","Only some","Only some","A great deal","25 to 34","None","No","Yes","Yes","No","Yes","Korean","Japanese","Japanese"
12,"Working full time","Married",1,41,15,NA,8,14,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal",NA,"Yes","Pretty happy","Pretty happy","Yes",NA,1,"Monthly salary",NA,NA,NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","35 to 44","1-2","No","No","No","No","No","Japanese","German","American"
13,"Working part-time","Divorced",2,32,14,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$5000 TO 5999","Moderate","Favor","Yes","Pretty happy",NA,"Yes","Once a week",4,"Hourly wage","American Indian","American Indian",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","Yes","No","Yes","Japanese","Japanese","Korean"
14,"Working full time","Married",1,48,20,12,8,16,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor","Yes","Pretty happy","Very happy","Yes",NA,2,NA,"England and Wales","England and Wales","Germany",NA,"Only some","Only some","A great deal","Only some","A great deal","Only some","45 to 54","1-2","No","No","No","No","No","Japanese","Japanese","Japanese"
15,"Keeping house","Never married",0,20,12,12,12,NA,"High school","Female","White","No","Both in U.S.",0,"$25000 or more",NA,"Moderate","Favor","No","Not too happy",NA,NA,"Less than once a week",5,NA,NA,NA,NA,NA,"Only some","Only some","A great deal","Hardly any","A great deal","Only some","Less than 25","None","No","No","Yes","No","No","Korean","American",NA
16,"Working full time","Married",5,43,16,6,6,12,"Bachelor","Male","Other","No",NA,4,"$20000 - 24999","$6000 TO 6999","Extremely conservative",NA,"Yes","Pretty happy","Very happy","No",NA,1,NA,"Spain","Spain",NA,NA,"Only some",NA,"Only some","Hardly any","Hardly any","Only some","35 to 44","5 or more","No","No","No","No","No","Other","American","Japanese"
17,"Working full time","Divorced",4,27,11,6,4,NA,"LT High school","Female","Other","Yes","Neither in U.S.",4,"$10000 - 14999","$10000 - 14999","Extremely liberal","Favor","Yes","Not too happy",NA,NA,"Once a week",2,NA,"Other Spanish","Other Spanish",NA,NA,"A great deal","Hardly any","Only some","Only some","Hardly any","Only some","25 to 34","3-4","No","Yes","No","Yes","Yes","Swedish","American","Swedish"
18,"Keeping house","Widowed",7,34,7,NA,NA,NA,"LT High school","Female","Other","Yes","Both in U.S.",NA,NA,NA,"Conservative","Favor","Yes","Not too happy",NA,"No",NA,5,NA,"American only","American only",NA,NA,"Only some","Only some","Only some","Only some","Hardly any","Only some","25 to 34","5 or more","No","No","Yes","No","No","American","German",NA
19,"Working full time","Separated",0,43,9,0,NA,NA,"LT High school","Male","Other","Yes","Both in U.S.",0,"LT $1000","LT $1000","Liberal","Oppose",NA,NA,NA,"No",NA,NA,"Weekly wage","American only","American only",NA,NA,"Only some","Hardly any","Only some","Hardly any","A great deal","A great deal","35 to 44","None","No","No","No","No","No","American","Korean","Japanese"
20,"Working full time","Married",1,28,16,16,16,16,"Bachelor","Male","White","Yes","Father only",2,"$25000 or more","$25000 or more","Conservative","Favor","No","Very happy","Very happy","No",NA,1,"Monthly salary","Other Asian","Other Asian",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Hardly any","25 to 34","1-2","No","No","No","No","No","Korean",NA,NA
21,"Working full time","Married",3,42,16,15,12,14,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Annual salary","Ireland","Ireland",NA,NA,"A great deal","A great deal","A great deal","Only some","A great deal","Only some","35 to 44","3-4","No","No","No","No","No","American",NA,NA
22,"Working full time","Married",2,72,14,6,14,16,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Slightly conservative","Favor","Yes","Very happy","Very happy","Yes","Every day",3,"Other pay rate",NA,"England and Wales","Germany","Scotland",NA,NA,NA,NA,NA,NA,"65 or older","1-2","Yes","No","Yes","No","No","Other","Swedish","Japanese"
23,"Working full time","Married",3,45,16,NA,12,14,"Bachelor","Male","White","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Pretty happy","Pretty happy",NA,"Every day",1,NA,"Ireland","Ireland",NA,NA,"Only some","A great deal","Hardly any","Only some","Only some","Only some","45 to 54","3-4","Yes","No","No","No","No","American","Japanese",NA
24,"Retired","Divorced",2,79,19,NA,12,NA,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly conservative","Favor","No","Pretty happy",NA,NA,"Every day",1,NA,"England and Wales","England and Wales","France",NA,"A great deal","A great deal","A great deal","Only some","A great deal","Only some","65 or older","1-2","Yes","No","No","No","No","American","Japanese","Japanese"
25,"Retired","Widowed",8,81,16,8,6,NA,"Bachelor","Female","White","Yes","Both in U.S.",3,"$25000 or more",NA,"Moderate","Favor","Yes","Pretty happy",NA,NA,"Every day",1,NA,"Ireland","Ireland",NA,NA,"A great deal","A great deal","A great deal","Hardly any","Only some","Hardly any","65 or older","5 or more","Yes","No","No","No","No","German","Japanese","Korean"
26,"Working part-time","Married",3,65,18,6,8,12,"Bachelor","Male","White","Yes","Both in U.S.",0,NA,NA,"Conservative","Favor","Yes","Not too happy","Pretty happy","No","Every day",3,"Other pay rate",NA,"Germany","Ireland","England and Wales",NA,NA,NA,NA,NA,NA,"65 or older","3-4","Yes","No","Yes","No","No","Swedish","German","American"
27,"Retired","Widowed",0,75,12,16,12,NA,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor",NA,"Pretty happy",NA,"No",NA,NA,NA,NA,"Germany","Ireland","England and Wales","Only some",NA,"Only some","Only some","Only some","Only some","65 or older","None","No","No","No","No","No","Japanese","Japanese","Other"
28,"Working full time","Never married",0,36,15,5,12,NA,"High school","Female","White","Yes",NA,NA,NA,NA,"Moderate","Favor",NA,"Very happy",NA,"Yes",NA,NA,"Weekly wage",NA,NA,NA,NA,"A great deal","Hardly any","A great deal","A great deal","Only some","A great deal","35 to 44","None","No","No","No","No","No","American","Other",NA
29,"Working full time","Divorced",0,48,14,13,10,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor",NA,"Very happy",NA,"Yes",NA,NA,"Annual salary",NA,"France","England and Wales",NA,NA,"Only some","A great deal","A great deal","Only some","Only some","45 to 54","None","No","No","No","No","No","Japanese","Japanese","Japanese"
30,"Working full time","Divorced",2,61,13,6,8,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Not too happy",NA,"No",NA,1,NA,"England and Wales","England and Wales","Germany",NA,"Only some","A great deal","Only some","Hardly any","Only some","Hardly any","55 to 64","1-2","No","No","No","No","No","American","American",NA
31,"Working full time","Divorced",2,59,16,NA,8,NA,"Bachelor","Male","White","Yes","Both in U.S.",0,NA,NA,"Slightly liberal","Oppose",NA,"Very happy",NA,"No","Every day",1,"Monthly salary","Scotland","Netherlands","Scotland","Germany",NA,NA,NA,NA,NA,NA,"55 to 64","1-2","Yes","No","No","No","No","American","Japanese",NA
32,"Working part-time","Married",4,73,12,7,7,18,"High school","Male","White","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor",NA,"Pretty happy","Pretty happy",NA,"Every day",4,NA,"American Indian","Scotland","England and Wales","American Indian","Hardly any","Only some","Only some","Only some","Only some","Only some","65 or older","3-4","Yes","No","Yes","No","No","Japanese","American","Japanese"
33,"Working full time","Divorced",3,51,15,9,5,NA,"High school","Male","White","Yes","Both in U.S.",0,NA,NA,NA,NA,"Yes","Pretty happy",NA,"No",NA,NA,"Other pay rate",NA,NA,NA,NA,"Only some","Hardly any","Only some","Only some","Only some","Only some","45 to 54","3-4","No","No","No","No","No","American","Japanese","American"
34,"Working full time","Divorced",4,56,12,12,12,NA,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Liberal","Favor",NA,"Very happy",NA,"Yes","Few times a week",6,"Monthly salary","England and Wales","England and Wales","Ireland",NA,NA,NA,NA,NA,NA,NA,"55 to 64","3-4","No","No","Yes","No","No","American","German","American"
35,"Working full time","Divorced",0,41,14,16,16,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy",NA,NA,"Every day",2,"Monthly salary","France","France","Ireland",NA,"Only some","A great deal","Only some","Only some","Only some","Hardly any","35 to 44","None","Yes","No","No","No","No","American","American","American"
36,"Retired","Widowed",3,64,13,16,16,NA,"High school","Female","White","Yes","Both in U.S.",0,"$20000 - 24999",NA,"Moderate","Favor",NA,"Not too happy",NA,"No","Few times a week",4,NA,"Ireland","Ireland","England and Wales",NA,NA,NA,NA,NA,NA,NA,"55 to 64","3-4","No","No","Yes","No","Yes","Other","American","American"
37,"Working full time","Divorced",2,50,16,NA,6,NA,"Bachelor","Female","White","No","Neither in U.S.",4,"$20000 - 24999","$20000 - 24999","Liberal","Oppose",NA,"Pretty happy",NA,NA,"Few times a week",3,"Other pay rate","Sweden","Sweden",NA,NA,"A great deal","Only some","Only some","Hardly any","Only some","Hardly any","45 to 54","1-2","No","No","Yes","No","Yes","Other",NA,NA
38,"Working full time","Divorced",2,31,11,NA,NA,NA,"High school","Male","Other","Yes","Neither in U.S.",4,NA,NA,"Slightly conservative","Favor","Yes","Pretty happy",NA,NA,"Once a week",5,"Weekly wage","Italy","Italy",NA,NA,"A great deal","A great deal","Only some","Hardly any","A great deal","Only some","25 to 34","1-2","No","Yes","Yes","No","No","American","Korean","American"
39,"Keeping house","Married",4,25,9,NA,NA,NA,"LT High school","Female","Other","Yes","Mother only",4,"$8000 TO 9999",NA,"Moderate","Oppose","Yes","Very happy","Very happy","No","Less than once a week",10,NA,"Mexico","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","3-4","No","No","Yes","No","No","Japanese",NA,NA
40,"Working full time","Married",8,27,12,0,NA,12,"High school","Male","White","No","Neither in U.S.",3,"$25000 or more","$25000 or more","Slightly conservative","Oppose","Yes","Very happy","Pretty happy","No",NA,2,"Hourly wage","Mexico","Mexico",NA,NA,"Hardly any","A great deal","A great deal","Only some","Hardly any","Only some","25 to 34","5 or more","No","No","No","No","No","American",NA,NA
41,"Working part-time","Married",4,50,16,16,16,16,"Bachelor","Female","White","Yes","Both in U.S.",0,NA,NA,"Conservative","Favor",NA,"Very happy","Very happy","No",NA,NA,NA,"England and Wales","England and Wales","Scotland","Ireland","Only some","Only some","Only some","Only some","Only some","Only some","45 to 54","3-4","No","No","No","No","No","American",NA,NA
42,"Keeping house","Widowed",8,81,14,NA,NA,NA,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,NA,NA,NA,"Pretty happy",NA,"No","Never",NA,NA,NA,"England and Wales","Ireland","Scotland",NA,NA,NA,NA,NA,NA,"65 or older","5 or more","No","No","No","No","No","Swedish","American","American"
43,"Working full time","Married",5,50,16,NA,13,16,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Very happy","Very happy",NA,"Every day",4,NA,NA,"England and Wales","Scotland",NA,"Only some","Only some","Hardly any","Only some","A great deal","A great deal","45 to 54","5 or more","Yes","No","Yes","No","No","German","Korean",NA
44,"School","Never married",0,19,11,17,16,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Moderate","Oppose","Yes","Pretty happy",NA,NA,"Every day",0,NA,"England and Wales","England and Wales","France",NA,"A great deal","Only some","A great deal","Only some","A great deal","Hardly any","Less than 25","None","Yes","No","No","No","No","German","American",NA
45,"Retired","Widowed",3,71,18,8,14,NA,"Graduate","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Conservative","Favor","Yes","Pretty happy",NA,"No","Every day",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","3-4","Yes","No","Yes","No","No","Japanese","Swedish","Japanese"
46,"Working part-time","Married",2,56,17,16,NA,20,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Favor",NA,"Very happy","Very happy","No",NA,NA,"Annual salary","Norway","Norway","England and Wales",NA,"A great deal","A great deal","Only some","Only some","A great deal","Only some","55 to 64","1-2","No","No","No","No","No","German","Swedish","Korean"
47,"Working full time","Married",3,57,16,10,NA,14,"Bachelor","Male","White","Yes","Both in U.S.",0,NA,NA,"Slightly conservative","Favor",NA,"Very happy","Very happy","No",NA,NA,"Monthly salary","England and Wales","England and Wales",NA,NA,"Hardly any","Only some","Only some","Hardly any","Only some","Hardly any","55 to 64","3-4","No","No","No","No","No","Japanese",NA,NA
48,"Working full time","Never married",0,45,16,NA,12,NA,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Very happy",NA,"No","Every day",3,"Other pay rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","None","Yes","No","Yes","No","No","American","Korean",NA
49,"Working part-time","Divorced",0,56,16,14,12,NA,"Bachelor","Female","White","Yes","Both in U.S.",NA,"$7000 TO 7999","$7000 TO 7999","Extremely conservative","Favor","Yes","Not too happy",NA,"No",NA,2,"Other pay rate","Scotland","Scotland",NA,NA,"A great deal","Only some","Only some","Only some","Only some","Hardly any","55 to 64","None","No","No","No","No","No","American","Korean","American"
