,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Sales_in_thousands,1.0,-0.2773750135724867,-0.36008523368481676,-0.014355355256818091,-0.2593321196061205,0.2782613351827386,0.09299574630547494,0.20100679009436861,-0.03506241594720308,0.044389198927723125,0.036851350389169014,-0.2843959569702724,-0.09120480032562124,-0.08639540062297978,0.026377855734662024,-0.0904107152567152,0.04490693885712096,-0.08372660107150608,0.1508647138545816,0.5049405739055449,0.21250644765469895,-0.012959877691977338,-0.03813368109799047,-0.04960786830708535,0.11303782363006598,-0.11540212738881894,-0.05475669837606328,-0.16330645987300785,-0.03967264919792338,-0.09445286429824083,0.022424075584599447,-0.07374502490353164,-0.09868522036724717,0.036853063632830474,-0.11419175798305106,-0.0798858411386433,-0.05468321397363338,-0.02181588214738907,0.13340382390882533,-0.05629426382997475,-0.13336100048781155,-0.23025207113719537,0.7995125037910767
four_year_resale_value,-0.2773750135724867,1.0,0.7934815200038615,0.43303379623210114,0.6502848872562778,-0.04088786555024041,0.16525941511890666,0.04002995859777459,0.27620688605980886,0.26871060879689496,-0.34100281205677935,0.698053175313265,0.1567972024080343,0.12942115076362812,-0.035874344753476554,0.08075567467096334,-0.09186238168282906,-0.049919092179879845,-0.01473216649612517,-0.1127163309713833,-0.02896871942107079,-0.13387729997482414,0.02061041874435473,-0.023915464603701773,-0.02516197447374268,0.1312039794704736,0.02353264912016776,0.25752055588996187,-0.06376769454141802,-0.06273644781320174,-0.0733734513339294,-0.02743579862742984,-0.10119324519599517,-0.06551135728948218,0.5178042093414803,-0.033930500840527976,-0.09796292051097343,-0.033930500840527976,-0.01884807615240767,-0.056776277561199885,-0.05954266557495536,0.08459856365084195,-0.4467558678181322
Price_in_thousands,-0.36008523368481676,0.7934815200038615,1.0,0.6176005489976442,0.8479667712013421,0.11827217073306012,0.32857948909650414,0.1572252240562041,0.5262111034414559,0.43141339169302273,-0.5071496340190702,0.9067614901208786,0.1272632933833868,0.05833587860977266,-0.005681830129889563,0.16893895612743295,-0.12627935559492773,-0.06091731890480423,-0.06020960736606729,-0.12256494364637752,-0.09100899547232676,-0.1494829806230346,0.012602568761243856,0.08920166446474474,-0.06287957260106451,0.24003494717411636,0.1443866656733933,0.43182920542704784,-0.09328418172921914,-0.07909955165610438,-0.07610386718064052,-0.023571763515290046,-0.05369345406826336,-0.06180907376891782,0.3525040657283478,0.01906183160757038,-0.1691612404194238,-0.047888023004150106,-0.0935593681509462,-0.13690360434743337,0.052376086915538016,0.044229399013377836,-0.5778139524047734
Engine_size,-0.014355355256818091,0.43303379623210114,0.6176005489976442,1.0,0.8149946197111715,0.5184325888142625,0.7025962769304842,0.5763636745787041,0.7933214774024099,0.6983131278579343,-0.757119549523683,0.7965310988049668,-0.016647279671072015,-0.0500147069162084,0.09529940388818298,0.26949653322793465,0.01704872196440325,-0.052115306207559456,0.12662629908332407,0.07804976772803963,-0.09844097970296153,-0.15226203754594658,-0.004080700791588971,-0.004080700791588971,0.06438790078140134,0.11578590804910928,0.25982568893148406,0.09410994658435236,0.020475659419065796,-0.0552772272473194,-0.029981858929239796,0.08174653353837966,-0.09521498875989819,0.0783425960873067,0.0167201475740641,-0.10471631918638565,-0.19135449306934943,-0.06398177480516028,-0.10801785569748137,-0.2212038996071168,-0.15312515058565698,-0.2787198519095005,-0.12115787742203743
Horsepower,-0.2593321196061205,0.6502848872562778,0.8479667712013421,0.8149946197111715,1.0,0.3252761036426233,0.5381930451821704,0.42039894041987086,0.6371635699578565,0.5266383449908004,-0.6107190027925087,0.9897864013591341,0.0923541603400724,0.0001614839872422331,0.06462785971044982,0.24441896590339385,-0.0549762076398294,0.029160743358622482,0.015571824398832878,-0.07940072337306346,-0.08595450927151453,-0.15195643199492737,0.06365653245493451,0.08348846900709614,-0.045048386147318674,0.2300182346291915,0.20759500578110984,0.2206004856804413,-0.08142942744774112,-0.08285637640163143,-0.06697993423088672,0.01795529398737766,-0.05706509812839844,-0.0010354171148743612,0.23152964291117129,-0.016822873483071692,-0.22695072043402775,-0.04387760527896467,-0.11561508786934425,-0.2447495429271089,-0.011796820072817186,-0.01031190439228202,-0.40100986887549395
Wheelbase,0.2782613351827386,-0.04088786555024041,0.11827217073306012,0.5184325888142625,0.3252761036426233,1.0,0.6813900954021865,0.837535377467331,0.6568844478469489,0.6596916315441211,-0.49897599044941215,0.2888489651290976,0.012605388734000389,0.02332679808105172,0.07816620721009263,0.11423231609429181,-0.11701325813350252,0.04879388765952352,0.25472247891042304,0.1819964902858406,0.0031037815712841345,-0.1229889059492957,0.009401581193312268,0.0766920159989755,-0.13623299984859427,0.03736840886627656,0.14756901227923447,-0.035299626465497856,0.06889361140257658,-0.12649053304309948,-0.00810033958524208,0.08645765281565795,0.05405600184273608,0.04637560959093372,-0.2607905496158078,-0.045174918134018575,-0.0834387939864565,-0.09213976734911787,-0.09398487102706482,-0.20357421051830177,-0.08557988102529329,-0.38244571659438054,0.26999794397661464
Width,0.09299574630547494,0.16525941511890666,0.32857948909650414,0.7025962769304842,0.5381930451821704,0.6813900954021865,1.0,0.7000235784780418,0.7101291188943126,0.6486371687185999,-0.5845841288680662,0.5069191741876937,0.06632887662486273,-0.07866933729383,0.10723549328712109,0.1773508225611828,-0.03664207035523108,0.0502958897782972,0.28788405283838386,0.13686254687790336,-0.03798562337753352,-0.12306640946036296,-0.022947299876736205,0.010323257596262484,-0.07038372506990463,0.051341106401107846,0.24156957516088257,-0.07718427780858902,0.07895249663101594,-0.13702792962508967,-0.07290730684642431,0.004993415658047515,0.16602701622453728,0.04246601668435167,-0.0607171774753252,-0.07301679308859445,-0.2005646400612641,-0.11010502887212462,-0.1154086258588961,-0.1873001948716707,-0.09460481338555037,-0.23947601970237978,0.03767617086647908
Length,0.20100679009436861,0.04002995859777459,0.1572252240562041,0.5763636745787041,0.42039894041987086,0.837535377467331,0.7000235784780418,1.0,0.6223518689178295,0.5617577291144443,-0.4186882888304684,0.3703305070358745,0.0220916395319226,-0.0785468393580991,0.1496205937437394,0.1895334721647712,-0.02903385371933348,0.14450564784450454,0.1636604287775072,0.15772673859283992,-0.04391503877516154,-0.12815233072587562,0.03908099056644727,0.02434141812291312,-0.20732483619307873,0.035373761201554305,0.23764355885664978,-0.13940796020060608,0.107749029157416,-0.08345904095985181,-0.0197804311069216,0.09831985692372991,-0.1145593401188759,0.09653595947411373,-0.14992164708151845,-0.01425992231395958,-0.06144454555610984,-0.059569335317448714,-0.10367798190523089,-0.30458612419675374,-0.05917280362810999,-0.1301659679552905,0.20737342192746241
Curb_weight,-0.03506241594720308,0.27620688605980886,0.5262111034414559,0.7933214774024099,0.6371635699578565,0.6568844478469489,0.7101291188943126,0.6223518689178295,1.0,0.8680234052691184,-0.829389053070991,0.6292111395802101,0.024548613485767885,-0.021763360251979467,0.05023173900912443,0.20240904545528612,-0.14544207912838145,-0.02584992985565566,0.1093834965083841,0.035918774904761364,-0.015223497708988553,-0.16565534260257228,-0.004770088086101702,0.035274351563410494,-0.0012893881754223347,0.19521979941405163,0.24522932358031893,0.11870114763860108,0.029449379221441276,-0.047198498051568075,0.011234437433018591,0.06613523187481726,-0.10737335578481617,0.007815516112612312,-0.09451773335059366,-0.04495093508534192,-0.2213296472352795,-0.02004879219632338,-0.07057643324384755,-0.1618026026259377,-0.03043488025686349,-0.5189753433225724,-0.05194492997540304
Fuel_capacity,0.044389198927723125,0.26871060879689496,0.43141339169302273,0.6983131278579343,0.5266383449908004,0.6596916315441211,0.6486371687185999,0.5617577291144443,0.8680234052691184,1.0,-0.821330184702917,0.5222095302862123,0.05846379350996869,-0.026105344571683013,-0.008234308324434437,0.13649281936409421,-0.14862230931317735,-0.07726064377217877,0.24864144018509873,0.08101164617316903,-0.04124913430682118,-0.12538215884144774,0.011741762249827559,0.00963254408824524,0.06949455065105357,0.1360110762249711,0.18593032047361743,0.06359412802140291,-0.005775369906101734,0.019486045744953714,0.014608061399552017,0.013479579568488406,-0.12004861864428738,-0.0013992450255130588,-0.0346848223480825,-0.007281094381139163,-0.26008196974036796,-0.04618348608769691,-0.011475632124162924,-0.1703176654162359,-0.005775369906101742,-0.5925737975122288,-0.020221075648450545
