,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,CV,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
Sales_in_thousands,157.0,0.0,8320.698,52.99807643312102,29.45,68.02942199750512,4628.002257314634,1.283620587312303,0.11,0.9372799999999999,1.8707999999999998,5.453600000000001,14.114,29.45,67.956,127.64160000000004,185.33619999999982,260.64531999999997,540.561
four_year_resale_value,121.0,36.0,2186.83,18.072975206611574,14.18,11.453384099225005,131.18000732438017,0.6337298628637001,5.16,6.173,7.85,9.125,11.26,14.18,19.875,32.075,41.25,60.22,67.55
Price_in_thousands,155.0,2.0,4245.567000000001,27.39075483870966,22.799,14.351653189238549,205.96994926418103,0.5239597548058896,9.235,10.23144,12.469,13.9708,18.0175,22.799,31.947499999999998,44.016999999999996,55.834999999999894,78.47980000000007,85.5
Engine_size,156.0,1.0,477.5,3.060897435897434,3.0,1.0446529732758283,1.0912998345740283,0.3412897671854017,1.0,1.5550000000000002,1.8,1.95,2.3,3.0,3.575,4.6,4.775,5.7,8.0
Horsepower,156.0,1.0,29008.0,185.94871794871796,177.5,56.70032085837359,3214.926385442515,0.30492450544354244,55.0,96.4,114.5,120.0,149.5,177.5,215.0,254.0,300.0,325.7499999999996,450.0
Wheelbase,156.0,1.0,16767.999999999996,107.48717948717949,107.0,7.641303029809964,58.38951199338294,0.07109036692809842,92.6,92.875,95.87499999999999,98.65,103.0,107.0,112.2,115.5,119.25,134.37499999999991,138.7
Width,156.0,1.0,11099.400000000001,71.14999999999996,70.55,3.4518718624593676,11.915419354838704,0.048515416197601816,62.6,66.08500000000001,66.5,66.9,68.4,70.55,73.42500000000001,76.19999999999999,78.2,79.19,79.9
Length,156.0,1.0,29225.600000000002,187.34358974358977,187.9,13.431754284516824,180.41202315963608,0.07169583065478978,149.4,154.91500000000002,163.675,173.0,177.575,187.9,196.125,203.39999999999998,208.5,219.3049999999999,224.5
Curb_weight,155.0,2.0,523.594,3.378025806451613,3.342,0.6305016344292965,0.39753231101801423,0.18664796261328617,1.895,2.2454,2.4234999999999998,2.6062000000000003,2.971,3.342,3.7995,4.118600000000001,4.3891,5.39668,5.572
Fuel_capacity,156.0,1.0,2800.5,17.951923076923084,17.2,3.887921264864631,15.115931761786593,0.21657408224205757,10.3,11.9,12.5,13.2,15.8,17.2,19.575,23.2,25.4,30.899999999999977,32.0
Fuel_efficiency,154.0,3.0,3672.0,23.844155844155843,24.0,4.282705561885176,18.341566929802216,0.1796123792293892,15.0,15.0,16.65,18.3,21.0,24.0,26.0,28.700000000000017,31.0,33.0,45.0
Power_perf_factor,155.0,2.0,11941.75663612,77.0435912007742,72.03091719,25.142664099182788,632.1535580043351,0.3263433558498261,23.27627233,38.4619198118,46.203997397,48.44774082400001,60.407706775,72.03091719,89.41487752,108.49925242,125.09151288999999,141.11946063,188.14432299999999
